pT(GeV)   RAA(showers_only)  error  RAA(with_recoil)  error  RAA(with_recoil_and_back_reaction)  error
225  0.474976  0.00254359  1.19354  0.00671614  0.714154  0.00343327  
275  0.492142  0.00254551  1.19249  0.00656279  0.736702  0.00360703  
325  0.504692  0.00258866  1.1828  0.0062953  0.745515  0.00362496  
375  0.509911  0.00258034  1.18468  0.00641682  0.756861  0.00377408  
425  0.513628  0.00273126  1.18128  0.00667901  0.754503  0.00375062  
475  0.518771  0.0026824  1.18153  0.00684457  0.764163  0.00379814  
525  0.51621  0.00261205  1.17804  0.006562  0.761138  0.00369329  
575  0.524669  0.00267888  1.17332  0.00633926  0.76013  0.00368558  
625  0.521469  0.00314937  1.17201  0.00620562  0.761633  0.00374031  
675  0.522939  0.00269825  1.16819  0.00653958  0.763552  0.00378689  
725  0.519359  0.00284036  1.19112  0.00826913  0.764793  0.00395495  
775  0.516323  0.00269661  1.18788  0.00779685  0.756252  0.00374312  
825  0.514886  0.00295209  1.17374  0.00709533  0.753594  0.00394209  
875  0.516453  0.00328206  1.1856  0.00712656  0.760323  0.00412354  
925  0.509849  0.00319233  1.19998  0.00829544  0.755984  0.00510436  
975  0.507943  0.00336091  1.1999  0.00813619  0.748509  0.00404955  
